ID,ID_ESTABELECIMENTO_ORIGINAL,TIPO_ESTABELECIMENTO,NOME,HORA_ABERTURA,HORA_FECHAMENTO,CEP,RUA,BAIRRO,ESTADO,COMPLEMENTO,DATE_FROM,DATE_TO,VERSION
17,1332,Restaurante,Domino's Pizza,0 days 08:00:00,0 days 17:00:00,60859006,rua 3420,bairro 3420,estado 3420,complemento 3420,1970-01-01 00:00:00,2038-01-01,1
18,1411,Restaurante,Carl's Jr.,0 days 08:00:00,0 days 17:00:00,5613110,rua 3091,bairro 3091,estado 3091,complemento 3091,1970-01-01 00:00:00,2038-01-01,1
19,1516,Restaurante,Chick-fil-A,0 days 08:00:00,0 days 17:00:00,75341767,rua 134,bairro 134,estado 134,complemento 134,1970-01-01 00:00:00,2038-01-01,1
20,1542,Restaurante,Saras Too,0 days 08:00:00,0 days 17:00:00,18297009,rua 269,bairro 269,estado 269,complemento 269,1970-01-01 00:00:00,2038-01-01,1
21,1573,Restaurante,Sarku Japan,0 days 08:00:00,0 days 17:00:00,68631548,rua 1686,bairro 1686,estado 1686,complemento 1686,1970-01-01 00:00:00,2038-01-01,1
22,1586,Restaurante,McDonald's,0 days 08:00:00,0 days 17:00:00,30837899,rua 4513,bairro 4513,estado 4513,complemento 4513,1970-01-01 00:00:00,2038-01-01,1
23,1629,Restaurante,Taco Bell,0 days 08:00:00,0 days 17:00:00,98000307,rua 557,bairro 557,estado 557,complemento 557,1970-01-01 00:00:00,2038-01-01,1
24,1661,Restaurante,Moe's Southwest Grill,0 days 08:00:00,0 days 17:00:00,99224330,rua 3852,bairro 3852,estado 3852,complemento 3852,1970-01-01 00:00:00,2038-01-01,1
25,1724,Restaurante,KFC,0 days 08:00:00,0 days 17:00:00,2921451,rua 2667,bairro 2667,estado 2667,complemento 2667,1970-01-01 00:00:00,2038-01-01,1
26,1821,Restaurante,Domino's Pizza,0 days 08:00:00,0 days 17:00:00,31321906,rua 4312,bairro 4312,estado 4312,complemento 4312,1970-01-01 00:00:00,2038-01-01,1
27,1854,Restaurante,Chick-fil-A,0 days 08:00:00,0 days 17:00:00,78127284,rua 1789,bairro 1789,estado 1789,complemento 1789,1970-01-01 00:00:00,2038-01-01,1
28,1867,Restaurante,Hot Wing Express,0 days 08:00:00,0 days 17:00:00,15182664,rua 1710,bairro 1710,estado 1710,complemento 1710,1970-01-01 00:00:00,2038-01-01,1
29,1909,Restaurante,McDonald's,0 days 08:00:00,0 days 17:00:00,93302151,rua 4074,bairro 4074,estado 4074,complemento 4074,1970-01-01 00:00:00,2038-01-01,1
30,1913,Restaurante,McDonald's,0 days 08:00:00,0 days 17:00:00,5335496,rua 1507,bairro 1507,estado 1507,complemento 1507,1970-01-01 00:00:00,2038-01-01,1
31,1929,Restaurante,Izzy's Burger Spa,0 days 08:00:00,0 days 17:00:00,82302280,rua 2574,bairro 2574,estado 2574,complemento 2574,1970-01-01 00:00:00,2038-01-01,1
32,1944,Restaurante,Taco Bell,0 days 08:00:00,0 days 17:00:00,13459369,rua 3051,bairro 3051,estado 3051,complemento 3051,1970-01-01 00:00:00,2038-01-01,1
33,1945,Restaurante,Dairy Queen Grill Chill,0 days 08:00:00,0 days 17:00:00,73621133,rua 1122,bairro 1122,estado 1122,complemento 1122,1970-01-01 00:00:00,2038-01-01,1
34,1985,Restaurante,White Castle,0 days 08:00:00,0 days 17:00:00,11647611,rua 518,bairro 518,estado 518,complemento 518,1970-01-01 00:00:00,2038-01-01,1
35,1990,Restaurante,Panda Express,0 days 08:00:00,0 days 17:00:00,61654022,rua 4036,bairro 4036,estado 4036,complemento 4036,1970-01-01 00:00:00,2038-01-01,1
36,2000,Restaurante,Subway,0 days 08:00:00,0 days 17:00:00,19885064,rua 1146,bairro 1146,estado 1146,complemento 1146,1970-01-01 00:00:00,2038-01-01,1
37,2013,Restaurante,Pizza Hut,0 days 08:00:00,0 days 17:00:00,33814144,rua 1126,bairro 1126,estado 1126,complemento 1126,1970-01-01 00:00:00,2038-01-01,1
38,2039,Restaurante,Chick-fil-A,0 days 08:00:00,0 days 17:00:00,68416305,rua 2849,bairro 2849,estado 2849,complemento 2849,1970-01-01 00:00:00,2038-01-01,1
39,2058,Restaurante,Pizza Hut,0 days 08:00:00,0 days 17:00:00,58208322,rua 2536,bairro 2536,estado 2536,complemento 2536,1970-01-01 00:00:00,2038-01-01,1
40,2072,Restaurante,Wings Over Syracuse,0 days 08:00:00,0 days 17:00:00,74150006,rua 4094,bairro 4094,estado 4094,complemento 4094,1970-01-01 00:00:00,2038-01-01,1
41,2126,Restaurante,Domino's Pizza,0 days 08:00:00,0 days 17:00:00,64449936,rua 4703,bairro 4703,estado 4703,complemento 4703,1970-01-01 00:00:00,2038-01-01,1
42,2128,Restaurante,Melt Bar and Grilled,0 days 08:00:00,0 days 17:00:00,75898757,rua 2589,bairro 2589,estado 2589,complemento 2589,1970-01-01 00:00:00,2038-01-01,1
43,2157,Restaurante,Pizza Hut,0 days 08:00:00,0 days 17:00:00,20300861,rua 1610,bairro 1610,estado 1610,complemento 1610,1970-01-01 00:00:00,2038-01-01,1
44,2242,Restaurante,Wild Goats Cafe,0 days 08:00:00,0 days 17:00:00,49018633,rua 971,bairro 971,estado 971,complemento 971,1970-01-01 00:00:00,2038-01-01,1
45,2250,Restaurante,Swenson's Drive In Restaurants,0 days 08:00:00,0 days 17:00:00,79635753,rua 652,bairro 652,estado 652,complemento 652,1970-01-01 00:00:00,2038-01-01,1
46,2258,Restaurante,Swensons Drivein,0 days 08:00:00,0 days 17:00:00,7359230,rua 124,bairro 124,estado 124,complemento 124,1970-01-01 00:00:00,2038-01-01,1
47,2361,Restaurante,Taco Bell,0 days 08:00:00,0 days 17:00:00,80654988,rua 2045,bairro 2045,estado 2045,complemento 2045,1970-01-01 00:00:00,2038-01-01,1
48,2453,Restaurante,Domino's Pizza,0 days 08:00:00,0 days 17:00:00,89614841,rua 2353,bairro 2353,estado 2353,complemento 2353,1970-01-01 00:00:00,2038-01-01,1
49,2548,Restaurante,McDonald's,0 days 08:00:00,0 days 17:00:00,89107424,rua 3542,bairro 3542,estado 3542,complemento 3542,1970-01-01 00:00:00,2038-01-01,1
50,2628,Restaurante,Carl's Jr.,0 days 08:00:00,0 days 17:00:00,25539308,rua 3884,bairro 3884,estado 3884,complemento 3884,1970-01-01 00:00:00,2038-01-01,1
51,2759,Restaurante,Sonic Drive-In,0 days 08:00:00,0 days 17:00:00,69676007,rua 4956,bairro 4956,estado 4956,complemento 4956,1970-01-01 00:00:00,2038-01-01,1
52,2787,Restaurante,Palmetto Ale House,0 days 08:00:00,0 days 17:00:00,69728331,rua 4581,bairro 4581,estado 4581,complemento 4581,1970-01-01 00:00:00,2038-01-01,1
53,2817,Restaurante,SUBWAY,0 days 08:00:00,0 days 17:00:00,41675010,rua 2202,bairro 2202,estado 2202,complemento 2202,1970-01-01 00:00:00,2038-01-01,1
54,2928,Restaurante,Burger Hut,0 days 08:00:00,0 days 17:00:00,85692750,rua 1834,bairro 1834,estado 1834,complemento 1834,1970-01-01 00:00:00,2038-01-01,1
55,2938,Restaurante,Waffle House,0 days 08:00:00,0 days 17:00:00,4760244,rua 1897,bairro 1897,estado 1897,complemento 1897,1970-01-01 00:00:00,2038-01-01,1
56,2968,Restaurante,McDonald's,0 days 08:00:00,0 days 17:00:00,50310027,rua 1386,bairro 1386,estado 1386,complemento 1386,1970-01-01 00:00:00,2038-01-01,1
57,3010,Restaurante,KFC,0 days 08:00:00,0 days 17:00:00,50015696,rua 1756,bairro 1756,estado 1756,complemento 1756,1970-01-01 00:00:00,2038-01-01,1
58,3038,Restaurante,SUBWAY,0 days 08:00:00,0 days 17:00:00,7161119,rua 381,bairro 381,estado 381,complemento 381,1970-01-01 00:00:00,2038-01-01,1
59,3082,Restaurante,Wendys,0 days 08:00:00,0 days 17:00:00,55106902,rua 4085,bairro 4085,estado 4085,complemento 4085,1970-01-01 00:00:00,2038-01-01,1
60,3284,Restaurante,McAlisters Deli,0 days 08:00:00,0 days 17:00:00,19059455,rua 2986,bairro 2986,estado 2986,complemento 2986,1970-01-01 00:00:00,2038-01-01,1
61,3313,Restaurante,Bob Evans,0 days 08:00:00,0 days 17:00:00,97381759,rua 3379,bairro 3379,estado 3379,complemento 3379,1970-01-01 00:00:00,2038-01-01,1
62,3315,Restaurante,Wenellis Pizza,0 days 08:00:00,0 days 17:00:00,70086504,rua 783,bairro 783,estado 783,complemento 783,1970-01-01 00:00:00,2038-01-01,1
63,3435,Restaurante,Carl's Jr.,0 days 08:00:00,0 days 17:00:00,78104986,rua 3212,bairro 3212,estado 3212,complemento 3212,1970-01-01 00:00:00,2038-01-01,1
64,3449,Restaurante,Domino's Pizza,0 days 08:00:00,0 days 17:00:00,70175273,rua 3030,bairro 3030,estado 3030,complemento 3030,1970-01-01 00:00:00,2038-01-01,1
65,3454,Restaurante,Bob Evans,0 days 08:00:00,0 days 17:00:00,48407346,rua 3050,bairro 3050,estado 3050,complemento 3050,1970-01-01 00:00:00,2038-01-01,1
66,3495,Restaurante,SONIC Drive In,0 days 08:00:00,0 days 17:00:00,1556348,rua 4069,bairro 4069,estado 4069,complemento 4069,1970-01-01 00:00:00,2038-01-01,1
67,3565,Restaurante,Sonic Drive-In,0 days 08:00:00,0 days 17:00:00,10245127,rua 1389,bairro 1389,estado 1389,complemento 1389,1970-01-01 00:00:00,2038-01-01,1
68,3575,Restaurante,McDonalds,0 days 08:00:00,0 days 17:00:00,56689832,rua 3741,bairro 3741,estado 3741,complemento 3741,1970-01-01 00:00:00,2038-01-01,1
69,3655,Restaurante,Burger King,0 days 08:00:00,0 days 17:00:00,57409965,rua 2388,bairro 2388,estado 2388,complemento 2388,1970-01-01 00:00:00,2038-01-01,1
70,3684,Restaurante,Chick-Fil-A,0 days 08:00:00,0 days 17:00:00,10567335,rua 3860,bairro 3860,estado 3860,complemento 3860,1970-01-01 00:00:00,2038-01-01,1
71,3688,Restaurante,Long John Silver's,0 days 08:00:00,0 days 17:00:00,62359299,rua 4995,bairro 4995,estado 4995,complemento 4995,1970-01-01 00:00:00,2038-01-01,1
72,3892,Restaurante,McDonalds,0 days 08:00:00,0 days 17:00:00,54973238,rua 890,bairro 890,estado 890,complemento 890,1970-01-01 00:00:00,2038-01-01,1
73,3913,Restaurante,Golden Chick,0 days 08:00:00,0 days 17:00:00,14789043,rua 629,bairro 629,estado 629,complemento 629,1970-01-01 00:00:00,2038-01-01,1
74,3945,Restaurante,Chipotle Mexican Grill,0 days 08:00:00,0 days 17:00:00,23156770,rua 1742,bairro 1742,estado 1742,complemento 1742,1970-01-01 00:00:00,2038-01-01,1
75,3989,Restaurante,McDonald's,0 days 08:00:00,0 days 17:00:00,22380719,rua 1531,bairro 1531,estado 1531,complemento 1531,1970-01-01 00:00:00,2038-01-01,1
76,4004,Restaurante,Burgerfi,0 days 08:00:00,0 days 17:00:00,27773425,rua 1107,bairro 1107,estado 1107,complemento 1107,1970-01-01 00:00:00,2038-01-01,1
77,4011,Restaurante,Pizza Hut,0 days 08:00:00,0 days 17:00:00,2642865,rua 3939,bairro 3939,estado 3939,complemento 3939,1970-01-01 00:00:00,2038-01-01,1
78,4072,Restaurante,Rally's,0 days 08:00:00,0 days 17:00:00,5328251,rua 3246,bairro 3246,estado 3246,complemento 3246,1970-01-01 00:00:00,2038-01-01,1
79,4094,Restaurante,Trolley Stop,0 days 08:00:00,0 days 17:00:00,6893088,rua 1312,bairro 1312,estado 1312,complemento 1312,1970-01-01 00:00:00,2038-01-01,1
80,4136,Restaurante,Checkers,0 days 08:00:00,0 days 17:00:00,37965492,rua 3601,bairro 3601,estado 3601,complemento 3601,1970-01-01 00:00:00,2038-01-01,1
81,4233,Restaurante,Hardee's,0 days 08:00:00,0 days 17:00:00,93204200,rua 4638,bairro 4638,estado 4638,complemento 4638,1970-01-01 00:00:00,2038-01-01,1
82,4399,Restaurante,Quiznos,0 days 08:00:00,0 days 17:00:00,34942419,rua 2406,bairro 2406,estado 2406,complemento 2406,1970-01-01 00:00:00,2038-01-01,1
83,4430,Restaurante,Subway,0 days 08:00:00,0 days 17:00:00,55599055,rua 332,bairro 332,estado 332,complemento 332,1970-01-01 00:00:00,2038-01-01,1
84,4461,Restaurante,Waffle House,0 days 08:00:00,0 days 17:00:00,16059193,rua 879,bairro 879,estado 879,complemento 879,1970-01-01 00:00:00,2038-01-01,1
85,4604,Restaurante,Subway,0 days 08:00:00,0 days 17:00:00,64307725,rua 1863,bairro 1863,estado 1863,complemento 1863,1970-01-01 00:00:00,2038-01-01,1
86,4635,Restaurante,SUBWAY,0 days 08:00:00,0 days 17:00:00,99685243,rua 548,bairro 548,estado 548,complemento 548,1970-01-01 00:00:00,2038-01-01,1
87,4659,Restaurante,SUBWAY,0 days 08:00:00,0 days 17:00:00,54445856,rua 3570,bairro 3570,estado 3570,complemento 3570,1970-01-01 00:00:00,2038-01-01,1
88,4757,Restaurante,Waffle House,0 days 08:00:00,0 days 17:00:00,73934958,rua 2605,bairro 2605,estado 2605,complemento 2605,1970-01-01 00:00:00,2038-01-01,1
89,4770,Restaurante,Burger King,0 days 08:00:00,0 days 17:00:00,95448087,rua 344,bairro 344,estado 344,complemento 344,1970-01-01 00:00:00,2038-01-01,1
90,4791,Restaurante,Pizza Hut,0 days 08:00:00,0 days 17:00:00,76867229,rua 909,bairro 909,estado 909,complemento 909,1970-01-01 00:00:00,2038-01-01,1
91,4995,Restaurante,Subway,0 days 08:00:00,0 days 17:00:00,23150430,rua 419,bairro 419,estado 419,complemento 419,1970-01-01 00:00:00,2038-01-01,1
92,5009,Restaurante,Subway,0 days 08:00:00,0 days 17:00:00,95523967,rua 2327,bairro 2327,estado 2327,complemento 2327,1970-01-01 00:00:00,2038-01-01,1
93,5020,Restaurante,Carls Jr Green Burrito,0 days 08:00:00,0 days 17:00:00,96504672,rua 1035,bairro 1035,estado 1035,complemento 1035,1970-01-01 00:00:00,2038-01-01,1
94,5064,Restaurante,Dairy Queen,0 days 08:00:00,0 days 17:00:00,47897646,rua 1407,bairro 1407,estado 1407,complemento 1407,1970-01-01 00:00:00,2038-01-01,1
95,5137,Restaurante,Lola's Cafe At King's Landing,0 days 08:00:00,0 days 17:00:00,23676038,rua 2888,bairro 2888,estado 2888,complemento 2888,1970-01-01 00:00:00,2038-01-01,1
96,5214,Restaurante,Burger King,0 days 08:00:00,0 days 17:00:00,57769504,rua 4813,bairro 4813,estado 4813,complemento 4813,1970-01-01 00:00:00,2038-01-01,1
97,5242,Restaurante,McDonalds,0 days 08:00:00,0 days 17:00:00,28001875,rua 457,bairro 457,estado 457,complemento 457,1970-01-01 00:00:00,2038-01-01,1
98,5434,Restaurante,Panera Bread,0 days 08:00:00,0 days 17:00:00,81697650,rua 3353,bairro 3353,estado 3353,complemento 3353,1970-01-01 00:00:00,2038-01-01,1
99,5445,Restaurante,Dixie Lee Fried Chicken,0 days 08:00:00,0 days 17:00:00,47303681,rua 2166,bairro 2166,estado 2166,complemento 2166,1970-01-01 00:00:00,2038-01-01,1
100,5459,Restaurante,Pizza Hut,0 days 08:00:00,0 days 17:00:00,61865123,rua 2401,bairro 2401,estado 2401,complemento 2401,1970-01-01 00:00:00,2038-01-01,1
101,5601,Restaurante,Subway,0 days 08:00:00,0 days 17:00:00,72386803,rua 1459,bairro 1459,estado 1459,complemento 1459,1970-01-01 00:00:00,2038-01-01,1
102,5622,Restaurante,Krispy Krunchy Chicken,0 days 08:00:00,0 days 17:00:00,35390600,rua 2028,bairro 2028,estado 2028,complemento 2028,1970-01-01 00:00:00,2038-01-01,1
103,5670,Restaurante,Mod Pizza,0 days 08:00:00,0 days 17:00:00,55082094,rua 1232,bairro 1232,estado 1232,complemento 1232,1970-01-01 00:00:00,2038-01-01,1
104,5808,Restaurante,Subway,0 days 08:00:00,0 days 17:00:00,97010477,rua 4449,bairro 4449,estado 4449,complemento 4449,1970-01-01 00:00:00,2038-01-01,1
105,5810,Restaurante,Taco Bell,0 days 08:00:00,0 days 17:00:00,54774450,rua 1651,bairro 1651,estado 1651,complemento 1651,1970-01-01 00:00:00,2038-01-01,1
106,5822,Restaurante,Domino's Pizza,0 days 08:00:00,0 days 17:00:00,47406758,rua 4107,bairro 4107,estado 4107,complemento 4107,1970-01-01 00:00:00,2038-01-01,1
107,5838,Restaurante,Dairy Queen,0 days 08:00:00,0 days 17:00:00,86154891,rua 925,bairro 925,estado 925,complemento 925,1970-01-01 00:00:00,2038-01-01,1
108,5854,Restaurante,Dairy Queen,0 days 08:00:00,0 days 17:00:00,19309796,rua 4469,bairro 4469,estado 4469,complemento 4469,1970-01-01 00:00:00,2038-01-01,1
109,5949,Restaurante,McDonald's,0 days 08:00:00,0 days 17:00:00,59981884,rua 897,bairro 897,estado 897,complemento 897,1970-01-01 00:00:00,2038-01-01,1
110,6263,Restaurante,Taco Bell,0 days 08:00:00,0 days 17:00:00,39768555,rua 904,bairro 904,estado 904,complemento 904,1970-01-01 00:00:00,2038-01-01,1
111,6290,Restaurante,Burger King,0 days 08:00:00,0 days 17:00:00,9561913,rua 1731,bairro 1731,estado 1731,complemento 1731,1970-01-01 00:00:00,2038-01-01,1
112,6364,Restaurante,McDonald's,0 days 08:00:00,0 days 17:00:00,72051729,rua 2590,bairro 2590,estado 2590,complemento 2590,1970-01-01 00:00:00,2038-01-01,1
113,6393,Restaurante,1 Gyro Shoppe,0 days 08:00:00,0 days 17:00:00,33554053,rua 3521,bairro 3521,estado 3521,complemento 3521,1970-01-01 00:00:00,2038-01-01,1
114,6666,Restaurante,Jimmy Johns,0 days 08:00:00,0 days 17:00:00,67618885,rua 4914,bairro 4914,estado 4914,complemento 4914,1970-01-01 00:00:00,2038-01-01,1
115,6674,Restaurante,Wendy's,0 days 08:00:00,0 days 17:00:00,53768100,rua 3745,bairro 3745,estado 3745,complemento 3745,1970-01-01 00:00:00,2038-01-01,1
116,6704,Restaurante,Quiznos,0 days 08:00:00,0 days 17:00:00,12063405,rua 1931,bairro 1931,estado 1931,complemento 1931,1970-01-01 00:00:00,2038-01-01,1
117,6729,Restaurante,Burger King,0 days 08:00:00,0 days 17:00:00,28213260,rua 506,bairro 506,estado 506,complemento 506,1970-01-01 00:00:00,2038-01-01,1
118,6764,Restaurante,SUBWAY,0 days 08:00:00,0 days 17:00:00,34480045,rua 4227,bairro 4227,estado 4227,complemento 4227,1970-01-01 00:00:00,2038-01-01,1
119,6862,Restaurante,Pizza Hut,0 days 08:00:00,0 days 17:00:00,3888984,rua 335,bairro 335,estado 335,complemento 335,1970-01-01 00:00:00,2038-01-01,1
120,6929,Restaurante,Dunkin Donuts,0 days 08:00:00,0 days 17:00:00,81492858,rua 4958,bairro 4958,estado 4958,complemento 4958,1970-01-01 00:00:00,2038-01-01,1
121,7037,Restaurante,Taco Bell,0 days 08:00:00,0 days 17:00:00,36767900,rua 1427,bairro 1427,estado 1427,complemento 1427,1970-01-01 00:00:00,2038-01-01,1
122,7039,Restaurante,The Villa Restaurant,0 days 08:00:00,0 days 17:00:00,45868788,rua 1567,bairro 1567,estado 1567,complemento 1567,1970-01-01 00:00:00,2038-01-01,1
123,7061,Restaurante,Wendy's,0 days 08:00:00,0 days 17:00:00,98776755,rua 4895,bairro 4895,estado 4895,complemento 4895,1970-01-01 00:00:00,2038-01-01,1
124,7104,Restaurante,Sakura Gables Japanese Restaurant,0 days 08:00:00,0 days 17:00:00,45554391,rua 4136,bairro 4136,estado 4136,complemento 4136,1970-01-01 00:00:00,2038-01-01,1
125,7182,Restaurante,DQ Grill Chill,0 days 08:00:00,0 days 17:00:00,41644703,rua 2136,bairro 2136,estado 2136,complemento 2136,1970-01-01 00:00:00,2038-01-01,1
126,7203,Restaurante,Firehouse Subs,0 days 08:00:00,0 days 17:00:00,17146874,rua 2004,bairro 2004,estado 2004,complemento 2004,1970-01-01 00:00:00,2038-01-01,1
127,7231,Restaurante,Dairy Queen,0 days 08:00:00,0 days 17:00:00,68313517,rua 4331,bairro 4331,estado 4331,complemento 4331,1970-01-01 00:00:00,2038-01-01,1
128,7264,Restaurante,SUBWAY,0 days 08:00:00,0 days 17:00:00,57448176,rua 331,bairro 331,estado 331,complemento 331,1970-01-01 00:00:00,2038-01-01,1
129,7297,Restaurante,McDonald's,0 days 08:00:00,0 days 17:00:00,87166497,rua 843,bairro 843,estado 843,complemento 843,1970-01-01 00:00:00,2038-01-01,1
130,7316,Restaurante,Pizza Hut,0 days 08:00:00,0 days 17:00:00,31629230,rua 2556,bairro 2556,estado 2556,complemento 2556,1970-01-01 00:00:00,2038-01-01,1
131,7392,Restaurante,El Cazador Mexican Restaurant,0 days 08:00:00,0 days 17:00:00,44743821,rua 4389,bairro 4389,estado 4389,complemento 4389,1970-01-01 00:00:00,2038-01-01,1
132,7432,Restaurante,Mucho Gusto Mexican Kitchen,0 days 08:00:00,0 days 17:00:00,72212752,rua 2762,bairro 2762,estado 2762,complemento 2762,1970-01-01 00:00:00,2038-01-01,1
133,7510,Restaurante,Dairy Queen,0 days 08:00:00,0 days 17:00:00,34028422,rua 267,bairro 267,estado 267,complemento 267,1970-01-01 00:00:00,2038-01-01,1
134,7564,Restaurante,Bojangles' Famous Chicken 'n Biscuits,0 days 08:00:00,0 days 17:00:00,93438072,rua 400,bairro 400,estado 400,complemento 400,1970-01-01 00:00:00,2038-01-01,1
135,7596,Restaurante,Captain D's Seafood Kitchen,0 days 08:00:00,0 days 17:00:00,75345840,rua 3751,bairro 3751,estado 3751,complemento 3751,1970-01-01 00:00:00,2038-01-01,1
136,7626,Restaurante,McDonald's,0 days 08:00:00,0 days 17:00:00,4255790,rua 2568,bairro 2568,estado 2568,complemento 2568,1970-01-01 00:00:00,2038-01-01,1
137,7694,Restaurante,Next Level Burger,0 days 08:00:00,0 days 17:00:00,16059193,rua 879,bairro 879,estado 879,complemento 879,1970-01-01 00:00:00,2038-01-01,1
138,7716,Restaurante,Subway,0 days 08:00:00,0 days 17:00:00,35352985,rua 571,bairro 571,estado 571,complemento 571,1970-01-01 00:00:00,2038-01-01,1
139,7747,Restaurante,Big Ross Hoagies,0 days 08:00:00,0 days 17:00:00,31811336,rua 4054,bairro 4054,estado 4054,complemento 4054,1970-01-01 00:00:00,2038-01-01,1
140,7853,Restaurante,Dairy Queen,0 days 08:00:00,0 days 17:00:00,60932310,rua 3428,bairro 3428,estado 3428,complemento 3428,1970-01-01 00:00:00,2038-01-01,1
141,7898,Restaurante,Squeeze-In Restaurant & Deck,0 days 08:00:00,0 days 17:00:00,15969345,rua 222,bairro 222,estado 222,complemento 222,1970-01-01 00:00:00,2038-01-01,1
142,7962,Restaurante,Dairy Queen,0 days 08:00:00,0 days 17:00:00,62002770,rua 4736,bairro 4736,estado 4736,complemento 4736,1970-01-01 00:00:00,2038-01-01,1
143,8051,Restaurante,Teddy's Bigger Burgers,0 days 08:00:00,0 days 17:00:00,16865619,rua 2001,bairro 2001,estado 2001,complemento 2001,1970-01-01 00:00:00,2038-01-01,1
144,8061,Restaurante,Kfc,0 days 08:00:00,0 days 17:00:00,61291704,rua 4100,bairro 4100,estado 4100,complemento 4100,1970-01-01 00:00:00,2038-01-01,1
145,8092,Restaurante,Burger King,0 days 08:00:00,0 days 17:00:00,85901387,rua 1611,bairro 1611,estado 1611,complemento 1611,1970-01-01 00:00:00,2038-01-01,1
146,8104,Restaurante,KFC,0 days 08:00:00,0 days 17:00:00,90048618,rua 1592,bairro 1592,estado 1592,complemento 1592,1970-01-01 00:00:00,2038-01-01,1
147,8147,Restaurante,Firehouse Subs,0 days 08:00:00,0 days 17:00:00,83201732,rua 3460,bairro 3460,estado 3460,complemento 3460,1970-01-01 00:00:00,2038-01-01,1
148,8243,Restaurante,Roy Rogers Restaurant,0 days 08:00:00,0 days 17:00:00,1531224,rua 330,bairro 330,estado 330,complemento 330,1970-01-01 00:00:00,2038-01-01,1
149,8275,Restaurante,Chick-Fil-A,0 days 08:00:00,0 days 17:00:00,1403115,rua 2414,bairro 2414,estado 2414,complemento 2414,1970-01-01 00:00:00,2038-01-01,1
150,8281,Restaurante,Domino's Pizza,0 days 08:00:00,0 days 17:00:00,94552629,rua 255,bairro 255,estado 255,complemento 255,1970-01-01 00:00:00,2038-01-01,1
151,8533,Restaurante,Sonic Drive-In,0 days 08:00:00,0 days 17:00:00,61223926,rua 1298,bairro 1298,estado 1298,complemento 1298,1970-01-01 00:00:00,2038-01-01,1
