Alimento_ID,DATA_ID,ESTABELECIMENTO_ID,CARBOIDRATO,GORDURA_SATURADA,GORDURA_INSATURADA,LACTOSE,PROTEINA
50,4359,6931,10,1,8,12,7
50,4926,8796,10,1,8,12,7
50,4980,9572,10,1,8,12,7
51,861,3990,0,5,1,8,18
51,4727,5629,0,5,1,8,18
52,4915,3584,12,2,4,6,14
54,4267,1012,2,3,0,5,8
54,6431,3312,2,3,0,5,8
55,3142,6382,19,10,1,15,9
56,1709,7400,2,5,10,10,8
56,3788,2962,2,5,10,10,8
59,727,6786,18,8,0,0,4
59,1665,7867,18,8,0,0,4
59,5890,3608,18,8,0,0,4
60,4065,2455,8,9,7,14,5
60,4937,457,8,9,7,14,5
60,5179,851,8,9,7,14,5
61,1289,5636,20,9,9,2,10
61,5772,7306,20,9,9,2,10
62,660,9486,10,6,7,2,19
63,5095,7935,17,4,8,1,0
64,830,6829,14,9,5,9,16
64,6491,7088,14,9,5,9,16
66,4946,1811,6,10,2,9,15
67,72,1814,3,5,0,4,15
67,2580,2488,3,5,0,4,15
67,2977,7394,3,5,0,4,15
68,5864,8031,4,4,4,7,10
69,1404,9819,1,9,6,6,4
71,5511,593,5,7,7,11,6
71,6140,8331,5,7,7,11,6
72,1328,3844,12,9,2,0,5
73,1449,5472,2,9,9,1,20
73,1986,5860,2,9,9,1,20
74,69,3388,15,5,8,12,12
74,1326,6695,15,5,8,12,12
74,2203,8072,15,5,8,12,12
75,306,6015,7,4,7,11,17
75,3382,2959,7,4,7,11,17
76,672,6322,17,8,10,0,12
76,1458,7665,17,8,10,0,12
76,2437,1909,17,8,10,0,12
77,6447,5327,14,5,6,14,17
79,1737,4655,15,0,4,6,9
79,3243,599,15,0,4,6,9
81,2814,6752,8,7,4,12,20
82,462,5017,2,4,6,8,10
82,1262,1419,2,4,6,8,10
82,3800,8779,2,4,6,8,10
82,6218,2600,2,4,6,8,10
83,4020,8084,10,3,1,3,2
85,6052,7361,1,0,2,11,2
86,1767,7354,13,8,8,1,9
86,5779,8564,13,8,8,1,9
88,2689,272,5,2,10,6,2
88,5709,5135,5,2,10,6,2
90,1575,4972,19,3,8,10,15
90,6671,7254,19,3,8,10,15
92,442,7966,13,9,5,4,14
93,1699,3321,20,8,7,11,13
96,1358,5469,3,6,9,3,5
97,6875,7853,0,8,10,11,11
98,449,6141,14,3,8,8,16
99,1156,5024,16,7,4,3,18
99,4833,9931,16,7,4,3,18
102,3774,9576,19,2,8,6,2
102,4423,4794,19,2,8,6,2
103,2271,3360,15,0,9,4,6
105,1982,6186,4,8,8,13,15
105,5820,1863,4,8,8,13,15
105,6136,5977,4,8,8,13,15
106,1561,3567,11,2,3,10,8
106,2629,8311,11,2,3,10,8
106,6048,1891,11,2,3,10,8
107,5723,9733,14,1,1,1,17
108,5768,1165,6,8,5,10,9
108,5937,6958,6,8,5,10,9
108,6102,1322,6,8,5,10,9
109,3054,9091,15,10,2,8,11
110,2439,4173,6,10,6,0,5
110,3880,9082,6,10,6,0,5
110,4144,3403,6,10,6,0,5
112,3463,2512,18,2,6,14,5
112,6101,5424,18,2,6,14,5
113,4393,4728,8,7,9,7,13
114,2528,756,1,5,7,5,20
114,2811,2322,1,5,7,5,20
114,3257,7963,1,5,7,5,20
114,3707,3159,1,5,7,5,20
115,2451,2225,19,9,8,4,10
116,1207,9730,20,6,0,2,3
117,78,9830,17,0,10,8,4
118,1287,3292,13,8,2,12,12
119,206,6876,1,9,1,13,17
119,460,4583,1,9,1,13,17
119,2179,2473,1,9,1,13,17
119,4042,6752,1,9,1,13,17
120,162,3794,20,3,2,5,11
120,3594,6220,20,3,2,5,11
120,6537,7846,20,3,2,5,11
121,692,8456,11,7,1,7,19
122,3451,7670,2,9,4,6,2
122,6555,1007,2,9,4,6,2
124,6870,4027,6,10,8,0,17
125,3091,9733,8,3,2,12,2
125,5401,9823,8,3,2,12,2
126,693,6985,17,1,1,6,19
127,2876,2668,10,9,2,15,7
127,3390,9010,10,9,2,15,7
128,4544,8128,9,10,8,1,17
128,5556,9516,9,10,8,1,17
129,3869,6289,0,7,3,7,2
129,6446,4449,0,7,3,7,2
130,2846,9631,15,1,9,0,13
133,1981,7911,11,7,1,13,5
133,2286,9476,11,7,1,13,5
133,2982,1281,11,7,1,13,5
133,4006,2457,11,7,1,13,5
133,4060,5954,11,7,1,13,5
134,4432,9386,8,3,8,14,18
134,4861,9835,8,3,8,14,18
135,3625,4365,5,3,1,8,10
136,2961,5623,6,6,8,6,7
136,5162,2674,6,6,8,6,7
137,4406,1068,5,7,0,15,18
138,1561,7037,18,7,3,14,19
138,4917,2215,18,7,3,14,19
139,5044,8269,10,2,10,5,18
140,1525,8299,15,10,6,5,12
140,3079,1991,15,10,6,5,12
142,6168,1446,9,9,7,3,18
144,1117,9376,16,5,7,9,19
145,157,6610,0,10,2,3,8
145,4076,7723,0,10,2,3,8
147,2192,1690,16,4,5,10,7
148,532,5050,19,10,2,2,6
149,413,7063,16,3,4,15,20
150,338,7541,13,2,0,7,1
150,406,5123,13,2,0,7,1
150,1085,1201,13,2,0,7,1
150,1421,1723,13,2,0,7,1
150,4663,6941,13,2,0,7,1
151,1396,9498,9,8,2,12,8
152,1261,4528,12,1,9,15,4
152,5894,1133,12,1,9,15,4
154,1410,17,7,2,7,6,0
154,5022,5233,7,2,7,6,0
154,6071,2115,7,2,7,6,0
155,3086,8784,13,1,4,4,12
155,3598,6699,13,1,4,4,12
156,3817,1299,8,7,1,12,9
157,2435,855,14,6,6,12,6
158,108,745,16,9,0,11,16
158,3199,2003,16,9,0,11,16
158,5022,2480,16,9,0,11,16
159,1682,8730,12,8,1,3,9
159,2131,4998,12,8,1,3,9
159,5010,2999,12,8,1,3,9
160,213,3255,19,5,9,1,17
160,4449,3778,19,5,9,1,17
160,5960,8695,19,5,9,1,17
161,3653,5986,19,2,5,8,2
161,5273,5626,19,2,5,8,2
162,643,7266,15,7,8,9,11
163,2466,2713,3,4,10,3,11
163,4377,5895,3,4,10,3,11
163,4644,2172,3,4,10,3,11
163,5281,2967,3,4,10,3,11
163,6074,5645,3,4,10,3,11
164,827,4483,15,5,10,15,6
164,6467,2575,15,5,10,15,6
166,5603,2842,14,0,2,5,7
168,625,1373,8,2,8,9,17
169,5504,3599,13,0,6,13,7
170,3618,6101,2,6,1,10,16
175,278,2992,4,7,7,13,14
176,4328,7663,2,1,8,14,16
176,5028,1458,2,1,8,14,16
176,6175,1317,2,1,8,14,16
177,6397,6256,10,7,4,10,11
178,5072,2044,0,4,8,11,13
178,5887,1882,0,4,8,11,13
180,749,9727,9,4,10,2,2
180,4092,6403,9,4,10,2,2
180,4610,7621,9,4,10,2,2
181,3603,3290,17,1,4,10,11
181,5869,7486,17,1,4,10,11
182,2510,6857,1,9,6,4,5
182,2539,8028,1,9,6,4,5
182,3433,7962,1,9,6,4,5
183,58,2311,1,5,7,14,6
183,236,175,1,5,7,14,6
183,6518,4695,1,5,7,14,6
184,5044,5077,12,7,4,11,20
185,4223,4144,13,9,10,15,4
185,6319,7215,13,9,10,15,4
185,6431,9804,13,9,10,15,4
186,2758,2213,0,10,0,12,8
188,1538,9641,6,7,2,12,16
188,2257,7295,6,7,2,12,16
189,2607,2201,13,10,5,3,5
190,4006,7716,17,8,7,5,13
191,603,7893,16,9,8,0,10
191,1213,9557,16,9,8,0,10
191,3332,6194,16,9,8,0,10
192,3858,1875,11,7,1,7,19
192,4970,6751,11,7,1,7,19
193,5317,3914,13,8,2,12,12
194,2353,2093,20,9,6,15,10
195,1591,9878,9,1,0,12,11
195,5019,1053,9,1,0,12,11
195,5046,1449,9,1,0,12,11
196,4018,7955,9,9,5,0,20
197,1527,4304,14,1,0,12,12
197,3150,7262,14,1,0,12,12
198,2035,8255,12,2,4,0,20
199,494,3617,19,4,9,9,9
200,2459,4775,17,8,7,5,12
200,4764,3868,17,8,7,5,12
201,1541,9416,9,2,0,0,2
201,5926,466,9,2,0,0,2
201,6749,348,9,2,0,0,2
202,2528,4179,3,6,5,2,6
202,4681,7667,3,6,5,2,6
202,5626,465,3,6,5,2,6
202,6655,3769,3,6,5,2,6
202,6797,8332,3,6,5,2,6
203,3419,7118,8,1,7,14,10
204,507,4775,7,0,9,10,16
204,5057,2693,7,0,9,10,16
204,5880,2110,7,0,9,10,16
205,4226,3888,9,2,8,4,2
206,767,7192,10,2,6,7,16
206,1264,1220,10,2,6,7,16
206,3414,1662,10,2,6,7,16
206,4951,6020,10,2,6,7,16
206,6287,9962,10,2,6,7,16
207,4514,5812,12,8,9,12,7
208,4906,5416,3,4,6,9,15
208,5571,4340,3,4,6,9,15
209,1020,4178,19,2,3,12,20
209,1228,3646,19,2,3,12,20
210,2925,4791,13,8,10,1,14
210,5633,6978,13,8,10,1,14
211,640,6626,4,10,6,14,1
211,2684,7890,4,10,6,14,1
212,1304,9321,0,5,2,7,19
212,3280,8437,0,5,2,7,19
212,5830,389,0,5,2,7,19
213,1370,8026,19,0,2,9,8
213,1532,9334,19,0,2,9,8
213,3369,1686,19,0,2,9,8
213,4248,8369,19,0,2,9,8
214,3017,1438,18,7,10,13,16
214,4696,4337,18,7,10,13,16
216,4088,3578,19,7,5,8,18
216,6142,3995,19,7,5,8,18
217,4293,6194,16,2,9,10,15
218,6348,9534,5,8,9,7,17
219,1359,4144,14,2,5,8,10
220,2542,880,15,9,5,10,17
220,5049,1138,15,9,5,10,17
220,5894,5587,15,9,5,10,17
220,6215,9843,15,9,5,10,17
220,6579,244,15,9,5,10,17
221,3666,8703,5,0,10,15,5
221,4028,5420,5,0,10,15,5
221,4976,5555,5,0,10,15,5
224,2164,9049,4,2,8,9,18
224,6426,4176,4,2,8,9,18
225,3055,8522,19,4,6,11,18
226,1691,3762,4,9,6,6,14
226,4530,1910,4,9,6,6,14
226,5590,5833,4,9,6,6,14
227,1353,8008,9,3,6,3,4
230,6213,5533,4,9,9,7,14
231,3944,1521,13,2,2,1,16
231,5725,4832,13,2,2,1,16
232,2300,3883,20,10,1,9,1
232,3697,243,20,10,1,9,1
234,2373,3716,1,6,6,0,17
234,5238,2264,1,6,6,0,17
234,5371,9913,1,6,6,0,17
235,2827,4977,4,8,10,7,8
236,1403,106,8,5,0,9,17
238,3051,1323,2,3,5,15,0
239,2175,6758,7,5,8,0,4
239,3842,1643,7,5,8,0,4
240,3972,1561,3,5,9,14,0
240,5420,1739,3,5,9,14,0
240,5641,831,3,5,9,14,0
240,5725,3246,3,5,9,14,0
241,476,7934,8,10,3,9,2
241,1838,2366,8,10,3,9,2
242,5880,8577,0,9,5,1,3
242,6069,8880,0,9,5,1,3
243,2821,786,13,0,5,3,0
243,5840,309,13,0,5,3,0
244,1401,9163,12,3,4,3,17
244,3278,934,12,3,4,3,17
245,83,4857,13,8,6,9,16
246,1360,919,18,8,4,12,9
246,3922,3112,18,8,4,12,9
246,6447,187,18,8,4,12,9
247,183,6365,5,7,5,13,19
248,1971,6630,7,5,0,5,18
249,2326,3895,11,8,3,10,3
250,1635,9442,2,5,10,15,13
250,2695,9741,2,5,10,15,13
250,3105,5443,2,5,10,15,13
250,3120,5461,2,5,10,15,13
250,5373,4539,2,5,10,15,13
251,2384,5931,19,6,6,7,16
251,3075,9735,19,6,6,7,16
251,3843,4654,19,6,6,7,16
252,2140,8804,3,8,4,11,8
253,4658,8271,0,8,9,8,12
253,5710,7628,0,8,9,8,12
253,6456,57,0,8,9,8,12
253,6527,9086,0,8,9,8,12
255,1656,9069,12,3,3,15,11
255,5627,3469,12,3,3,15,11
256,1455,9642,11,7,5,10,15
256,5656,7594,11,7,5,10,15
257,292,8114,5,0,2,4,9
258,811,8411,1,2,1,3,4
258,2626,4528,1,2,1,3,4
258,6354,3680,1,2,1,3,4
259,6424,3544,0,3,0,15,1
260,2322,7230,16,1,1,9,6
261,3172,4904,9,7,2,4,3
262,3923,4126,2,0,5,3,10
262,4938,6597,2,0,5,3,10
263,770,2077,4,6,5,2,1
263,4548,712,4,6,5,2,1
263,5979,7060,4,6,5,2,1
265,3816,5027,13,7,1,3,12
266,6551,5920,1,2,7,14,18
267,6197,5131,7,3,9,6,12
268,2245,3576,17,6,0,14,10
268,5549,6162,17,6,0,14,10
269,2610,4172,18,7,3,14,19
269,5017,9616,18,7,3,14,19
272,1861,6853,0,5,7,5,9
273,4053,8921,14,7,5,8,9
273,6034,8567,14,7,5,8,9
275,1828,4151,10,1,3,3,3
275,4690,9597,10,1,3,3,3
276,286,6081,8,10,0,15,20
276,823,5685,8,10,0,15,20
276,2513,4967,8,10,0,15,20
276,3203,5483,8,10,0,15,20
277,5787,4562,5,4,3,11,7
277,6544,9075,5,4,3,11,7
277,6751,4374,5,4,3,11,7
279,4149,2396,14,7,9,15,7
280,417,4368,4,0,3,14,19
280,6631,2988,4,0,3,14,19
282,1182,2797,0,3,3,12,5
282,1707,2240,0,3,3,12,5
282,3183,1588,0,3,3,12,5
283,4233,4067,20,6,9,2,12
284,5357,3787,11,8,10,9,9
284,6357,6204,11,8,10,9,9
285,2774,2566,15,0,4,15,6
285,2883,886,15,0,4,15,6
285,2917,7927,15,0,4,15,6
287,5154,5742,0,6,8,0,8
289,981,3088,0,6,2,8,18
289,5603,5140,0,6,2,8,18
290,2648,8326,18,0,8,8,11
291,391,9107,0,7,4,1,6
291,714,5275,0,7,4,1,6
291,4640,943,0,7,4,1,6
293,685,5368,8,8,3,5,12
294,1017,8175,18,3,8,8,1
294,5833,6763,18,3,8,8,1
295,1419,9468,14,3,5,10,1
296,416,6528,10,5,4,12,13
296,3344,7241,10,5,4,12,13
296,5935,607,10,5,4,12,13
297,2395,39,2,4,10,5,10
298,2544,4519,7,1,5,0,14
300,1349,2368,1,10,7,3,18
300,4961,1623,1,10,7,3,18
301,832,5035,2,7,4,10,10
301,2131,9743,2,7,4,10,10
301,4489,4608,2,7,4,10,10
301,5246,2011,2,7,4,10,10
302,660,3264,5,3,3,3,3
303,3431,7272,2,9,0,15,9
303,6843,438,2,9,0,15,9
304,2655,7581,13,0,0,8,1
305,172,8091,8,8,5,13,4
306,5148,7692,16,10,4,2,8
307,2754,3770,2,4,6,5,10
307,3418,7225,2,4,6,5,10
308,1348,5680,15,3,7,11,11
310,1488,4307,14,5,7,10,19
310,3243,9917,14,5,7,10,19
310,4456,8375,14,5,7,10,19
310,5430,1780,14,5,7,10,19
311,459,9530,5,8,9,7,5
314,1931,464,10,6,3,11,0
315,4531,6759,15,0,8,0,18
316,4362,3556,12,3,6,3,4
320,5054,1428,14,9,0,3,4
320,6906,4670,14,9,0,3,4
322,587,6453,14,7,9,15,7
324,1785,6386,3,6,9,15,20
325,98,3917,15,4,7,0,10
325,2491,390,15,4,7,0,10
325,2731,3579,15,4,7,0,10
326,2195,7672,4,6,8,12,16
326,2242,1714,4,6,8,12,16
326,3898,3793,4,6,8,12,16
326,5604,3927,4,6,8,12,16
327,5316,1728,15,2,5,11,17
329,1109,6180,16,5,0,14,1
329,1473,4909,16,5,0,14,1
329,2349,6797,16,5,0,14,1
330,313,9674,18,3,5,13,11
330,1439,7350,18,3,5,13,11
330,1950,4574,18,3,5,13,11
330,3446,4578,18,3,5,13,11
331,1278,7645,9,4,0,10,6
332,914,2755,1,3,3,12,1
333,3657,7528,1,3,4,13,14
334,4801,2875,8,9,8,1,9
334,4858,8219,8,9,8,1,9
336,2226,1827,15,7,1,7,10
336,4589,4797,15,7,1,7,10
337,3568,8006,7,3,7,10,1
338,1132,4831,3,9,3,14,15
338,5554,3147,3,9,3,14,15
339,168,2917,2,10,9,6,8
339,1432,8303,2,10,9,6,8
341,2338,1681,7,1,9,11,19
341,3112,5694,7,1,9,11,19
341,6426,1495,7,1,9,11,19
342,2154,7798,4,3,4,9,13
342,2345,9213,4,3,4,9,13
342,3473,8301,4,3,4,9,13
342,3918,2473,4,3,4,9,13
343,2364,4990,2,10,8,13,10
344,1353,6063,3,5,2,13,13
345,2172,2836,8,6,9,10,4
346,3094,2602,19,5,6,10,12
346,4926,3296,19,5,6,10,12
346,5392,8686,19,5,6,10,12
347,1014,1787,19,1,6,2,14
347,2435,8263,19,1,6,2,14
348,6563,7734,5,2,5,10,6
349,4325,9048,9,8,8,7,16
351,2075,4236,8,2,9,8,5
351,6203,463,8,2,9,8,5
352,1998,1091,3,9,3,14,15
353,5371,5025,10,1,0,9,1
354,355,8550,2,7,5,13,3
354,2207,7240,2,7,5,13,3
354,2461,986,2,7,5,13,3
355,6772,8052,15,1,9,0,13
356,6050,1562,18,8,3,9,5
356,6251,3556,18,8,3,9,5
357,177,2554,4,0,5,11,4
357,4165,8768,4,0,5,11,4
358,1554,5845,11,0,10,13,18
359,3279,5623,4,3,8,7,13
359,4150,258,4,3,8,7,13
360,4942,9739,20,4,10,3,20
360,6256,8199,20,4,10,3,20
362,239,5458,0,8,4,6,13
363,4323,8867,19,1,7,1,1
364,2406,3079,11,4,5,7,8
365,4014,4591,6,1,2,7,2
366,554,8029,1,10,3,10,7
366,2671,2827,1,10,3,10,7
367,2636,9426,7,5,6,7,9
367,5170,6022,7,5,6,7,9
367,6633,993,7,5,6,7,9
369,2648,3579,12,0,8,9,14
369,4369,7863,12,0,8,9,14
371,2033,4459,4,1,8,4,14
371,2879,5033,4,1,8,4,14
371,4512,804,4,1,8,4,14
372,3709,6486,15,7,2,0,17
372,5468,7905,15,7,2,0,17
372,6221,7959,15,7,2,0,17
374,2620,9977,1,4,10,13,20
374,6052,6246,1,4,10,13,20
375,4114,5170,18,10,1,9,14
375,5128,2445,18,10,1,9,14
376,5004,7940,0,6,6,9,4
377,4728,3776,13,7,10,8,4
377,6020,8326,13,7,10,8,4
378,2207,7038,7,6,8,8,9
378,3883,28,7,6,8,8,9
379,5286,8110,10,1,0,6,18
380,1602,7701,4,8,4,2,9
380,3654,3381,4,8,4,2,9
380,5432,3223,4,8,4,2,9
381,5464,60,5,6,0,0,16
381,6934,4861,5,6,0,0,16
382,864,5297,10,3,5,10,0
382,4869,2740,10,3,5,10,0
383,2973,2395,7,1,4,4,11
383,4411,6608,7,1,4,4,11
383,5109,6325,7,1,4,4,11
384,1849,3479,4,8,6,13,16
384,5337,4527,4,8,6,13,16
385,1298,8939,2,1,0,8,19
385,2696,709,2,1,0,8,19
385,5794,4947,2,1,0,8,19
388,4985,9983,10,8,3,2,17
389,1618,1436,1,5,5,0,14
389,2271,7787,1,5,5,0,14
389,3481,2297,1,5,5,0,14
391,6266,7796,11,7,1,7,19
393,15,242,8,9,9,13,14
393,1919,1206,8,9,9,13,14
394,2113,6691,0,5,7,5,9
394,6191,3602,0,5,7,5,9
395,6783,5607,17,6,3,7,19
397,950,7148,17,10,7,10,19
398,4965,1674,4,8,9,2,8
401,6400,7445,0,7,5,14,6
402,2845,5807,2,5,3,9,20
402,6030,3334,2,5,3,9,20
403,3350,5978,0,7,10,0,11
404,4376,832,18,7,1,2,19
404,5725,5533,18,7,1,2,19
405,55,5376,18,4,5,2,20
409,3850,9831,15,2,10,4,4
409,6050,1139,15,2,10,4,4
410,2939,6306,18,7,6,15,9
410,3598,8298,18,7,6,15,9
411,92,2740,1,6,0,7,9
411,1289,7248,1,6,0,7,9
411,2113,419,1,6,0,7,9
411,4282,6066,1,6,0,7,9
411,5951,3112,1,6,0,7,9
412,6569,2015,18,7,4,2,9
413,2367,7201,5,3,2,0,7
413,2431,9969,5,3,2,0,7
413,6205,4441,5,3,2,0,7
414,2450,6880,9,4,1,11,7
414,5492,2876,9,4,1,11,7
414,5576,5183,9,4,1,11,7
416,615,3238,14,6,8,10,1
417,398,5620,13,3,5,14,4
417,1069,9376,13,3,5,14,4
417,2682,2551,13,3,5,14,4
417,3520,9758,13,3,5,14,4
418,676,3066,0,3,7,10,12
418,1275,3160,0,3,7,10,12
418,5147,8357,0,3,7,10,12
419,6040,6736,5,7,6,15,0
421,6170,5778,20,10,1,4,9
423,6067,6484,5,4,0,8,17
423,6929,9426,5,4,0,8,17
424,2299,2246,7,7,3,2,1
425,1953,1233,9,3,4,12,2
425,3166,3233,9,3,4,12,2
426,4043,6526,17,6,6,5,14
428,4598,8211,6,10,9,3,10
428,5777,8732,6,10,9,3,10
430,2370,3379,13,8,8,1,13
431,1236,4101,16,5,0,11,8
431,1998,7551,16,5,0,11,8
431,2563,6068,16,5,0,11,8
432,6183,6266,11,6,6,5,2
432,6255,4209,11,6,6,5,2
432,6427,2051,11,6,6,5,2
433,1079,2596,10,8,4,0,12
433,2395,2989,10,8,4,0,12
434,6490,8902,6,2,10,3,6
436,952,3594,1,0,10,2,9
436,5056,376,1,0,10,2,9
437,1401,9917,16,10,1,15,9
437,4092,259,16,10,1,15,9
439,2934,1737,9,10,8,7,13
440,793,2891,18,5,3,3,11
440,2119,7061,18,5,3,3,11
442,1327,5209,1,7,10,14,10
442,1483,4052,1,7,10,14,10
442,2254,7992,1,7,10,14,10
442,3888,6539,1,7,10,14,10
443,4827,2810,7,6,7,9,10
446,1484,5856,18,5,5,1,6
446,5696,5678,18,5,5,1,6
448,2200,487,1,1,10,11,10
448,5387,9740,1,1,10,11,10
448,6683,3026,1,1,10,11,10
449,867,3119,3,8,8,9,19
450,4190,4364,3,3,4,7,20
451,3701,7493,15,8,3,12,15
451,4182,9964,15,8,3,12,15
451,5622,3102,15,8,3,12,15
452,58,7344,14,7,1,8,3
452,282,6175,14,7,1,8,3
452,2288,3475,14,7,1,8,3
453,3036,3761,10,0,6,2,1
453,5443,7302,10,0,6,2,1
453,6917,5455,10,0,6,2,1
454,5688,1679,18,0,10,10,2
455,5740,2554,0,10,8,2,14
456,431,5069,13,5,0,10,6
456,6430,2689,13,5,0,10,6
458,2639,2962,18,3,5,12,4
458,3749,8059,18,3,5,12,4
458,4904,7777,18,3,5,12,4
459,1206,1642,19,7,7,0,9
460,169,1891,18,9,0,3,20
460,4861,2847,18,9,0,3,20
462,640,3961,10,9,8,12,7
463,4097,8420,8,2,1,10,11
464,2776,1304,13,2,1,8,14
464,4141,7696,13,2,1,8,14
464,4239,5913,13,2,1,8,14
466,1114,3108,9,3,3,1,10
466,5674,8874,9,3,3,1,10
467,2373,5597,2,5,6,10,17
467,2374,2826,2,5,6,10,17
467,4577,5734,2,5,6,10,17
468,1899,6934,0,1,0,10,16
468,3181,3191,0,1,0,10,16
469,2330,4725,4,3,2,0,17
469,5808,7787,4,3,2,0,17
470,6926,9739,6,3,9,2,15
471,2065,5170,6,2,0,0,17
471,5394,4655,6,2,0,0,17
472,3251,1821,1,0,10,2,9
472,4606,9098,1,0,10,2,9
473,6594,7712,7,8,5,5,15
475,6903,6092,18,1,2,12,12
476,5524,3552,15,6,3,3,20
479,5867,7654,9,3,4,4,8
480,2834,637,20,4,6,11,15
481,3576,6343,10,4,1,13,7
481,5084,5384,10,4,1,13,7
482,4394,7406,9,4,6,6,5
482,6621,6044,9,4,6,6,5
483,1040,8058,2,6,3,1,14
483,5117,9300,2,6,3,1,14
483,5809,8815,2,6,3,1,14
484,2230,5688,17,1,4,5,0
485,5891,9865,8,0,9,15,8
487,6061,3423,3,6,2,4,11
487,6742,781,3,6,2,4,11
488,409,9,7,9,3,6,8
488,5692,1859,7,9,3,6,8
488,5704,7792,7,9,3,6,8
488,6677,5408,7,9,3,6,8
489,1598,6481,11,10,3,5,1
490,681,7255,2,6,4,2,14
490,3372,1470,2,6,4,2,14
491,4484,7551,18,4,6,2,18
492,4756,5005,1,4,0,4,9
493,6231,5788,8,9,5,5,14
495,672,330,20,6,9,6,7
495,3692,9147,20,6,9,6,7
496,1087,8933,10,7,8,6,8
497,1981,5688,15,8,1,2,6
497,5902,373,15,8,1,2,6
498,2563,7849,14,9,7,6,14
499,2819,6804,4,2,2,7,9
499,3296,925,4,2,2,7,9
499,4665,4330,4,2,2,7,9
500,2944,2837,12,0,7,2,17
500,4112,1761,12,0,7,2,17
500,4954,9429,12,0,7,2,17
500,6368,3619,12,0,7,2,17
503,4657,9143,2,7,2,11,17
504,3816,7936,9,0,6,4,1
505,6241,109,5,2,1,10,16
506,962,7172,4,7,2,12,11
506,3959,3735,4,7,2,12,11
507,1632,612,15,3,0,8,11
507,5342,8183,15,3,0,8,11
509,2328,3307,13,2,5,11,11
509,4264,6159,13,2,5,11,11
510,200,8399,9,0,7,11,17
510,1774,4155,9,0,7,11,17
510,2395,9611,9,0,7,11,17
511,656,8484,3,6,0,1,10
511,2778,1054,3,6,0,1,10
511,5206,9424,3,6,0,1,10
513,368,9236,19,6,10,1,2
513,2226,9944,19,6,10,1,2
513,2337,4901,19,6,10,1,2
513,2973,3471,19,6,10,1,2
514,745,4512,18,7,8,7,20
514,3414,3485,18,7,8,7,20
515,2534,9489,3,9,2,4,17
515,5616,4745,3,9,2,4,17
521,4556,7552,2,4,10,13,1
522,2456,2011,19,5,8,10,5
523,96,3487,10,7,6,3,2
523,124,3425,10,7,6,3,2
524,5391,9096,3,2,1,15,9
528,3175,8344,14,8,6,1,4
529,467,5747,7,3,10,11,2
530,5900,7449,5,10,2,10,3
531,6241,6947,14,3,0,1,12
532,5279,9785,19,7,5,5,4
533,3861,2870,14,10,7,1,7
533,4556,1476,14,10,7,1,7
534,38,2819,10,2,9,5,12
535,979,169,16,6,6,3,20
535,1271,9774,16,6,6,3,20
535,4607,3375,16,6,6,3,20
535,6632,3494,16,6,6,3,20
536,5805,9618,8,7,4,14,16
